state,district,year,month,rain
Maharashtra,Beed,2017,September,284.5
Maharashtra,Beed,2017,October,0
Maharashtra,Beed,2017,November,0
Maharashtra,Beed,2017,December,0
Maharashtra,Beed,2014,January,0
Maharashtra,Beed,2014,February,0
Maharashtra,Beed,2014,March,0
Maharashtra,Beed,2014,April,0
Maharashtra,Beed,2014,May,0
Maharashtra,Beed,2014,June,44.8
Maharashtra,Beed,2014,July,81.3
Maharashtra,Beed,2014,August,164.2
Maharashtra,Beed,2014,September,289.8
Maharashtra,Beed,2014,October,27
Maharashtra,Beed,2014,November,0
Maharashtra,Beed,2014,December,0
Maharashtra,Beed,2015,January,0
Maharashtra,Beed,2015,February,0
Maharashtra,Beed,2015,March,0
Maharashtra,Beed,2015,April,0
Maharashtra,Beed,2015,May,13.8
Maharashtra,Beed,2015,June,84.6
Maharashtra,Beed,2015,July,150.9
Maharashtra,Beed,2015,August,152.7
Maharashtra,Beed,2015,September,230.8
Maharashtra,Beed,2015,October,77.2
Maharashtra,Beed,2015,November,94.2
Maharashtra,Beed,2015,December,21.8
Maharashtra,Beed,2016,January,0
Maharashtra,Beed,2016,February,0
Maharashtra,Beed,2016,March,0
Maharashtra,Beed,2016,April,0
Maharashtra,Beed,2016,May,11.2
Maharashtra,Beed,2016,June,143
Maharashtra,Beed,2016,July,254.2
Maharashtra,Beed,2016,August,235
Maharashtra,Beed,2016,September,166
Maharashtra,Beed,2016,October,94.5
Maharashtra,Beed,2016,November,33
Maharashtra,Beed,2016,December,4.5
Maharashtra,Bhandara,2020,January,51.2
Maharashtra,Bhandara,2020,February,2.1
Maharashtra,Bhandara,2020,March,0
Maharashtra,Bhandara,2020,April,4.6
Maharashtra,Bhandara,2020,May,16.6
Maharashtra,Bhandara,2020,June,126.2
Maharashtra,Bhandara,2020,July,268
Maharashtra,Bhandara,2020,August,218.8
Maharashtra,Bhandara,2020,September,93.8
Maharashtra,Bhandara,2020,October,0.4
Maharashtra,Bhandara,2020,November,0
Maharashtra,Bhandara,2020,December,0
Maharashtra,Bhandara,2019,January,11.5
Maharashtra,Bhandara,2019,February,119.1
Maharashtra,Bhandara,2019,March,2.1
Maharashtra,Bhandara,2019,April,8.1
Maharashtra,Bhandara,2019,May,14.6
Maharashtra,Bhandara,2019,June,253.4
Maharashtra,Bhandara,2019,July,445.7
Maharashtra,Bhandara,2019,August,367.8
Maharashtra,Bhandara,2019,September,457.3
Maharashtra,Bhandara,2019,October,117.9
Maharashtra,Bhandara,2019,November,0
Maharashtra,Bhandara,2019,December,0
Maharashtra,Bhandara,2018,January,0
Maharashtra,Bhandara,2018,February,0
Maharashtra,Bhandara,2018,March,42.3
Maharashtra,Bhandara,2018,April,32.4
Maharashtra,Bhandara,2018,May,40.6
Maharashtra,Bhandara,2018,June,73.1
Maharashtra,Bhandara,2018,July,552.4
Maharashtra,Bhandara,2018,August,413.8
Maharashtra,Bhandara,2018,September,189.7
Maharashtra,Bhandara,2018,October,3
Maharashtra,Bhandara,2018,November,0
Maharashtra,Bhandara,2018,December,0
Maharashtra,Bhandara,2017,January,0
Maharashtra,Bhandara,2017,February,0
Maharashtra,Bhandara,2017,March,0
Maharashtra,Bhandara,2017,April,0
Maharashtra,Bhandara,2017,May,0
Maharashtra,Bhandara,2017,June,250.7
Maharashtra,Bhandara,2017,July,307.3
Maharashtra,Bhandara,2017,August,218.7
Maharashtra,Bhandara,2017,September,212.5
Maharashtra,Bhandara,2017,October,20.1
Maharashtra,Bhandara,2017,November,0
Maharashtra,Bhandara,2017,December,0
Maharashtra,Bhandara,2014,January,0
Maharashtra,Bhandara,2014,February,0
Maharashtra,Bhandara,2014,March,0
Maharashtra,Bhandara,2014,April,0
Maharashtra,Bhandara,2014,May,0
Maharashtra,Bhandara,2014,June,179.1
Maharashtra,Bhandara,2014,July,308.3
Maharashtra,Bhandara,2014,August,295.1
Maharashtra,Bhandara,2014,September,98.3
Maharashtra,Bhandara,2014,October,0.7
Maharashtra,Bhandara,2014,November,0
Maharashtra,Bhandara,2014,December,0
Maharashtra,Bhandara,2015,January,0
Maharashtra,Bhandara,2015,February,0
Maharashtra,Bhandara,2015,March,0
Maharashtra,Bhandara,2015,April,0
Maharashtra,Bhandara,2015,May,0
Maharashtra,Bhandara,2015,June,71.7
Maharashtra,Bhandara,2015,July,481.6
Maharashtra,Bhandara,2015,August,223
Maharashtra,Bhandara,2015,September,133.8
Maharashtra,Bhandara,2015,October,17.9
Maharashtra,Bhandara,2015,November,82.8
Maharashtra,Bhandara,2015,December,10.7
Maharashtra,Bhandara,2016,January,9.1
Maharashtra,Bhandara,2016,February,22
Maharashtra,Bhandara,2016,March,13.8
Maharashtra,Bhandara,2016,April,0
Maharashtra,Bhandara,2016,May,0
Maharashtra,Bhandara,2016,June,164.8
Maharashtra,Bhandara,2016,July,562.2
Maharashtra,Bhandara,2016,August,316.3
Maharashtra,Bhandara,2016,September,317.3
Maharashtra,Bhandara,2016,October,65
Maharashtra,Bhandara,2016,November,45.3
Maharashtra,Bhandara,2016,December,1.8
Maharashtra,Buldana,2020,January,10.8
Maharashtra,Buldana,2020,February,0
Maharashtra,Buldana,2020,March,0
Maharashtra,Buldana,2020,April,0
Maharashtra,Buldana,2020,May,31.7
Maharashtra,Buldana,2020,June,115.1
Maharashtra,Buldana,2020,July,165.3
Maharashtra,Buldana,2020,August,135.2
Maharashtra,Buldana,2020,September,114.6
Maharashtra,Buldana,2020,October,37.3
Maharashtra,Buldana,2020,November,6.3
Maharashtra,Buldana,2020,December,0
Maharashtra,Buldana,2019,January,11.7
Maharashtra,Buldana,2019,February,10.8
Maharashtra,Buldana,2019,March,1
Maharashtra,Buldana,2019,April,10.6
Maharashtra,Buldana,2019,May,0
